iso_formula,iso_slug,inchi,inchikey,mass_in_Da,name,version,doi,max_temperature,num_pressure_broadeners,nxsec_files,nkcoeff_files,dipole_available,cooling_function_available,specific_heat_available,continuum,hyperfine_resolved_dataset
(1H)(11B)(16O),1H-11B-16O,"InChI=1S/BHO/c1-2/h1H/i1+0H,2+0",UXUFOKFTFHRQTE-VWHNNAKVSA-N,28.01204505,LQL,20240522,10.1039/D3CP05997A,3000.0,0,0,0,False,False,False,False,False
(1H)(79Br),1H-79Br,InChI=1S/BrH/h1H/i1-1/hH,CPELXLSAUQHCOX-OXEALATOSA-N,79.92616213,HITRAN-HBr,20230904,10.1016/j.jqsrt.2013.07.002,5000.0,2,0,0,False,False,False,False,False
(1H)(35Cl),1H-35Cl,InChI=1S/ClH/h1H/i1+0/hH,VEXZGXHMUGYJMC-LEAUUUNSSA-N,35.97667771,HITRAN-HCl,20160726,0.1016/j.jqsrt.2017.06.038,5000.0,0,0,0,False,False,False,False,False
(1H)(37Cl),1H-37Cl,InChI=1S/ClH/h1H/i1+2/hH,VEXZGXHMUGYJMC-OXEDXLFZSA-N,37.97372762,HITRAN-HCl,20160726,0.1016/j.jqsrt.2017.06.038,5000.0,0,0,0,False,False,False,False,False
(2H)(35Cl),2H-35Cl,InChI=1S/ClH/h1H/i1+0/hD,VEXZGXHMUGYJMC-MCXKOXQDSA-N,36.98295446,HITRAN-HCl,20160726,0.1016/j.jqsrt.2017.06.038,5000.0,0,0,0,False,False,False,False,False
(2H)(37Cl),2H-37Cl,InChI=1S/ClH/h1H/i1+2/hD,VEXZGXHMUGYJMC-DQGQKLTASA-N,38.98000437,HITRAN-HCl,20160726,0.1016/j.jqsrt.2017.06.038,5000.0,0,0,0,False,False,False,False,False
(1H)(12C)(14N),1H-12C-14N,InChI=1S/CHN/c1-2/h1H,LELOWRISYMNNSU-UHFFFAOYSA-N,27.01089903,Harris,20161205,10.5281/zenodo.5716828,4000.0,0,0,0,True,False,True,False,False
(3He)(1H)+,3He-1H_p,InChI=1S/HHe/h1H/q+1/i1-1,HSFAAVLNFOAYQX-BJUDXGSMSA-N,4.02330577,ADJSAAM,20200725,10.3847/1538-4357/ab1f65,9000.0,0,0,0,False,False,False,False,False
(3He)(2H)+,3He-2H_p,InChI=1S/HHe/h1H/q+1/i1-1D,HSFAAVLNFOAYQX-QIAWKQIGSA-N,5.02958252,ADJSAAM,20200725,10.3847/1538-4357/ab1f65,9000.0,0,0,0,False,False,False,False,False
(4He)(1H)+,4He-1H_p,InChI=1S/HHe/h1H/q+1,HSFAAVLNFOAYQX-UHFFFAOYSA-N,5.00987945,ADJSAAM,20200725,10.3847/1538-4357/ab1f65,9000.0,0,0,0,False,False,True,False,False
(4He)(2H)+,4He-2H_p,InChI=1S/HHe/h1H/q+1/i1D,HSFAAVLNFOAYQX-MICDWDOJSA-N,6.0161562,ADJSAAM,20200725,10.3847/1538-4357/ab1f65,9000.0,0,0,0,False,True,False,False,False
(1H)(19F),1H-19F,InChI=1S/FH/h1H/i1+0/hH,KRHYYFGTRYWZRS-LEAUUUNSSA-N,20.00622825,Coxon-Hajig,20191005,10.5281/zenodo.5716696,5000.0,2,0,0,False,False,True,False,False
(1H)(14N)(16O)3,1H-14N-16O3,"InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)",GRYLNZFGIOXLOG-UHFFFAOYSA-N,62.99564289,AIJS,20160726,10.5281/zenodo.5716872,500.0,0,0,0,False,False,True,False,False
(39K)(35Cl),39K-35Cl,InChI=1S/ClH.K/h1H;/q;+1/p-1/i2*1+0,WCUXLLCKKVVCTQ-MHGBRSHDSA-M,73.93255936,Barton,20160726,10.5281/zenodo.5716977,3000.0,0,0,0,False,False,True,False,False
(39K)(37Cl),39K-37Cl,InChI=1S/ClH.K/h1H;/q;+1/p-1/i1+2;1+0,WCUXLLCKKVVCTQ-OJTQQMQBSA-M,75.92960927,Barton,20160726,10.5281/zenodo.5716979,3000.0,0,0,0,False,False,False,False,False
(41K)(35Cl),41K-35Cl,InChI=1S/ClH.K/h1H;/q;+1/p-1/i1+0;1+2,WCUXLLCKKVVCTQ-WMSMEIEASA-M,75.93067844,Barton,20160726,10.5281/zenodo.5716981,3000.0,0,0,0,False,False,False,False,False
(41K)(37Cl),41K-37Cl,InChI=1S/ClH.K/h1H;/q;+1/p-1/i2*1+2,WCUXLLCKKVVCTQ-YAZWTTIFSA-M,77.92772835,Barton,20160726,10.5281/zenodo.5716983,3000.0,0,0,0,False,False,False,False,False
